;W:\MZKE001_A1p_10000_SN0\MKZE001_A-01_A1p_P3-A-1_01_84239.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-10_A1p_P3-F-10_01_84104.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-11_A1p_P3-F-11_01_84105.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-09_A1p_P3-D-9_01_84078.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-02_A1p_P3-A-2_01_84034.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-11_A1p_P3-B-11_01_84055.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-07_A1p_P3-D-7_01_84076.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-12_A1p_P3-B-12_01_84056.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-12_A1p_P3-F-12_01_84106.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-01_A1p_P3-G-1_01_84108.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-08_A1p_P3-B-8_01_84052.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-09_A1p_P3-B-9_01_84053.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-10_A1p_P3-B-10_01_84054.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-04_A1p_P3-D-4_01_84073.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-05_A1p_P3-D-5_01_84074.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-06_A1p_P3-D-6_01_84075.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-07_A1p_P3-F-7_01_84101.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-08_A1p_P3-F-8_01_84102.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-09_A1p_P3-F-9_01_84103.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-10_A1p_P3-H-10_01_84129.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-11_A1p_P3-H-11_01_84130.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-12_A1p_P3-H-12_01_84131.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-11_A1p_P3-D-11_01_84080.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-02_A1p_P3-G-2_01_84109.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-03_A1p_P3-G-3_01_84110.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-01_A1p_P3-E-1_01_84083.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-03_A1p_P3-A-3_01_84035.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-01_A1p_P3-C-1_01_84058.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-04_A1p_P3-A-4_01_84036.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-02_A1p_P3-C-2_01_84059.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-05_A1p_P3-A-5_01_84037.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-04_A1p_P3-G-4_01_84111.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-12_A1p_P3-D-12_01_84081.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-02_A1p_P3-E-2_01_84084.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-03_A1p_P3-C-3_01_84060.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-05_A1p_P3-G-5_01_84112.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-06_A1p_P3-A-6_01_84038.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-04_A1p_P3-E-4_01_84086.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-04_A1p_P3-C-4_01_84061.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-05_A1p_P3-C-5_01_84062.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-07_A1p_P3-A-7_01_84039.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-07_A1p_P3-G-7_01_84114.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-03_A1p_P3-E-3_01_84085.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-08_A1p_P3-A-8_01_84040.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-06_A1p_P3-G-6_01_84113.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-05_A1p_P3-E-5_01_84087.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-08_A1p_P3-D-8_01_84077.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-10_A1p_P3-D-10_01_84079.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-06_A1p_P3-C-6_01_84063.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-06_A1p_P3-E-6_01_84088.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-08_A1p_P3-G-8_01_84115.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-08_A1p_P3-C-8_01_84065.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-07_A1p_P3-E-7_01_84089.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-07_A1p_P3-C-7_01_84064.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-09_A1p_P3-A-9_01_84041.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-10_A1p_P3-A-10_01_84042.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-09_A1p_P3-G-9_01_84116.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-08_A1p_P3-E-8_01_84090.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-10_A1p_P3-G-10_01_84117.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-11_A1p_P3-G-11_01_84118.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-09_A1p_P3-C-9_01_84066.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-09_A1p_P3-E-9_01_84091.d;W:\MZKE001_A1p_10000_SN0\MKZE001_G-12_A1p_P3-G-12_01_84119.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-11_A1p_P3-E-11_01_84093.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-12_A1p_P3-A-12_01_84044.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-10_A1p_P3-C-10_01_84067.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-11_A1p_P3-C-11_01_84068.d;W:\MZKE001_A1p_10000_SN0\MKZE001_A-11_A1p_P3-A-11_01_84043.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-10_A1p_P3-E-10_01_84092.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-01_A1p_P3-B-1_01_84045.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-01_A1p_P3-H-1_01_84120.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-02_A1p_P3-H-2_01_84121.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-02_A1p_P3-B-2_01_84046.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-03_A1p_P3-H-3_01_84122.d;W:\MZKE001_A1p_10000_SN0\MKZE001_E-12_A1p_P3-E-12_01_84094.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-05_A1p_P3-H-5_01_84124.d;W:\MZKE001_A1p_10000_SN0\MKZE001_C-12_A1p_P3-C-12_01_84069.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-01_A1p_P3-F-1_01_84095.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-03_A1p_P3-B-3_01_84047.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-01_A1p_P3-D-1_01_84070.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-04_A1p_P3-H-4_01_84123.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-02_A1p_P3-F-2_01_84096.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-03_A1p_P3-F-3_01_84097.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-04_A1p_P3-B-4_01_84048.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-04_A1p_P3-F-4_01_84098.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-06_A1p_P3-H-6_01_84125.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-07_A1p_P3-H-7_01_84126.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-03_A1p_P3-D-3_01_84072.d;W:\MZKE001_A1p_10000_SN0\MKZE001_D-02_A1p_P3-D-2_01_84071.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-05_A1p_P3-B-5_01_84049.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-05_A1p_P3-F-5_01_84099.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-07_A1p_P3-B-7_01_84051.d;W:\MZKE001_A1p_10000_SN0\MKZE001_F-06_A1p_P3-F-6_01_84100.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-08_A1p_P3-H-8_01_84127.d;W:\MZKE001_A1p_10000_SN0\MKZE001_B-06_A1p_P3-B-6_01_84050.d;W:\MZKE001_A1p_10000_SN0\MKZE001_H-09_A1p_P3-H-9_01_84128.d
Fragment_ID;CauPcPcMo_1;CauPcPcMo_2;CauPcPcMo_3;CauPcPcMo_4;CauPcPcPc_1;CauPcPcPc_2;CauPcPcPc_3;CauPcPcPc_4;CauPcPcPs_1;CauPcPcPs_3;control_d1_1;control_d1_2;control_d1_3;control_d2_1;control_d2_2;control_d2_3;control_d3_1;control_d3_2;control_d3_3;control_d4_1;control_d4_2;control_d4_3;HcnPcPcMo_1;HcnPcPcMo_2;HcnPcPcMo_3;HcnPcPcMo4;HcnPcPcPc_1;HcnPcPcPc_2;HcnPcPcPc_3;HcnPcPcPc_4;HcnPcPcPs_1;HcnPcPcPs_2;HcnPcPcPs_3;HcnPcPcPs_4;MdiPcPcMo_1;MdiPcPcMo_2;MdiPcPcMo_3;MdiPcPcMo_4;MdiPcPcPc_1;MdiPcPcPc_2;MdiPcPcPc_3;MdiPcPcPc_4;MdiPcPcPs_1;MdiPcPcPs_2;MdiPcPcPs_3;MdiPcPcPs_4;Methanol_control;Methanol_control;PeyPcPcMo_1;PeyPcPcMo_2;PeyPcPcMo_3;PeyPcPcMo_4;PeyPcPcPc_1;PeyPcPcPc_2;PeyPcPcPc_3;PeyPcPcPc_4;PeyPcPcPs_1;PeyPcPcPs_2;PeyPcPcPs_3;PeyPcPcPs_4;PvePcPcMo_1;PvePcPcMo_2;PvePcPcMo_3;PvePcPcMo_4;PvePcPcPc_2;PvePcPcPc_3;PvePcPcPc_4;PvePcPcPc_5;PvePcPcPs_1;PvePcPcPs_2;PvePcPcPs_3;PvePcPcPs_4;SinPcPcMo_1;SinPcPcMo_2;SinPcPcMo_3;SinPcPcMo_4;SinPcPcPc_1;SinPcPcPc_2;SinPcPcPc_3;SinPcPcPc_4;SinPcPcPs_1;SinPcPcPs_2;SinPcPcPs_3;SinPcPcPs_4;XenPcPcMo_1;XenPcPcMo_2;XenPcPcMo_3;XenPcPcMo_4;XenPcPcPc_1;XenPcPcPc_2;XenPcPcPc_3;XenPcPcPc_4;XenPcPcPs_1;XenPcPcPs_2;XenPcPcPs_3;XenPcPcPs_4
429.1s : 205.143m/z;246830;303869;626067;360748;480136;540952;207281;549873;619902;222212;313712;270828;252702;230502;219122;245798;247752;328623;339873;263954;552006;522923;668713;136079;189080;240520;317373;299247;380915;328940;279337;243400;679834;279453;323140;252185;201805;246574;262408;242969;251434;308806;254007;294826;219941;182577;391826;417518;280453;222483;346252;317692;251148;266033;317187;304855;577755;282789;376894;589914;321215;333583;633631;550349;639702;297958;576453;508930;291798;291548;204141;175688;271700;214217;600555;214505;602418;239110;284827;248104;222880;232081;218187;259167;222552;134513;273386;271028;248836;380111;254211;199482;196764;280161;233452;520096
524.2s : 149.023m/z;300447;442945;240776;416890;606831;183695;327214;187947;254803;399933;380179;335223;360245;376398;268377;274368;377088;398988;365321;393584;180933;182473;304412;238296;299697;257030;392567;355231;545669;300251;327610;442940;268461;337288;418073;302926;351438;315140;256481;267787;300727;348797;330506;345279;316009;257349;385616;398138;296480;248604;386655;310242;321443;342965;402958;341019;260723;472614;447105;218401;348738;484765;266081;167175;270112;346835;204487;240499;373568;389144;311452;272978;274577;384964;267918;364627;222965;259671;285448;259712;386833;271064;262383;299004;329811;352863;393232;268904;382203;137825;277234;308036;247748;488157;221274;183901
524.2s : 223.096m/z;299438;425389;245074;436494;696337;195671;337697;202434;263103;408812;408365;340508;375672;392980;292706;292561;384761;415893;354136;406388;188029;178869;323950;227626;292371;271831;451073;381206;595201;328224;350797;440933;282441;363564;466279;314733;368966;323801;279038;290665;319006;356732;342080;374335;320672;260975;420429;428787;316873;243007;381198;324273;306681;372473;422241;353261;269042;460733;464895;235966;363466;508299;269301;173506;291101;366126;228869;256055;382621;412241;316436;280109;303460;400369;275281;374763;242577;266169;305451;290437;406298;280444;275352;310526;333091;359560;398706;287286;399794;145862;284139;318789;262655;491831;233177;187720
524.2s : 177.055m/z;1078678;1645276;893900;1583476;2469640;686439;1254949;724088;957335;1495546;1503540;1285685;1400010;1447249;1046129;1050633;1386536;1492627;1357042;1440855;675885;648949;1164376;843958;1079390;969478;1557254;1374692;2150685;1173427;1255610;1604590;1030070;1286050;1661083;1126260;1365569;1203059;1018834;1045562;1140036;1293821;1273862;1359411;1148558;983995;1515392;1562901;1158466;907863;1395818;1210354;1190511;1329973;1565934;1317930;950272;1804981;1667915;823358;1336095;1865488;965444;621957;1024090;1364780;818649;925942;1415978;1490318;1139228;1001291;1074168;1419901;991190;1365907;876975;952329;1107522;1019477;1434895;1002101;1008300;1151651;1211211;1306868;1467602;1033376;1467627;536055;1040634;1166018;913415;1801447;855611;667050
542.6s : 241.086m/z;196362;399757;282845;451337;524187;269096;348077;265880;294079;369598;347133;347911;275679;319058;320628;310798;334218;383434;385310;376698;220167;249919;299298;278144;345096;377735;436175;392282;422126;411920;350943;332766;327890;391917;456419;366064;351803;376314;361371;346902;315540;366565;334755;355709;358700;316443;478487;503060;352988;308005;427905;379982;346173;349071;356780;317445;239516;357884;419280;275885;401020;405388;288059;220988;273075;372234;275831;214737;391196;340344;364267;322307;264036;349367;298138;344581;296319;351037;311902;361534;362702;335213;351574;325083;346279;326924;397049;357364;360847;160089;362845;278282;312667;389472;204490;225686
542.6s : 209.060m/z;432766;931261;632869;993980;1103221;583842;770050;600968;662395;817994;782911;757058;632116;705650;692255;655643;753786;850628;875445;843898;488162;566322;686928;645721;798021;830826;939562;875930;920785;925522;776210;744525;719454;860477;998152;825232;794556;848655;801698;742176;686805;814588;759151;788310;813399;720771;1070199;1093579;781704;719119;952711;855855;845277;763137;813501;724205;509650;826759;918472;606323;887960;925049;642652;486945;612020;854768;607570;465413;839376;760744;813187;709302;557663;746070;664472;776529;643886;769746;685443;786964;782928;735593;790513;729628;776608;724882;907599;810114;799036;347614;792155;603128;687258;886082;462922;502509
586.1s : 214.162m/z;365482;506320;444680;464711;561634;635748;322184;567011;546608;396035;342411;333424;283422;414933;378712;355747;301003;419642;365563;494233;452857;625636;529403;287801;470143;529708;500596;489394;409762;536248;388778;414166;519410;426644;590355;470602;440433;428618;420507;333301;346883;397732;290703;410539;394339;353634;178811;189338;429625;351536;454937;417720;308009;338591;443246;357224;493780;251396;445586;613896;334512;373690;540015;580873;508354;475048;646656;477128;374739;458261;334201;367513;340787;337629;639988;397131;622023;306245;367844;506620;357328;396413;392839;379437;346729;366618;394500;506613;518667;328604;282076;302005;347108;334176;201150;506889
629.6s : 415.211m/z;484450;756200;631392;858799;631693;422793;926591;373782;445597;459596;557398;558877;419534;725258;893777;965838;1022509;954260;699176;577703;568884;361887;744998;822691;710009;460688;476033;405968;539221;628194;481524;847956;509554;610929;619577;916747;491047;774300;704955;843035;460622;749924;708312;387383;826007;948952;961122;667494;820081;848340;1156440;787325;1077656;842907;396580;384348;817935;1087551;711588;617516;996122;811189;432096;587493;402532;535513;516847;366683;700174;380607;393141;564504;464532;711569;533774;805013;445192;464496;471674;490022;692994;615582;834957;533549;808343;541481;467971;617691;555496;477352;902976;494819;942153;669413;417587;687440
689.3s : 291.195m/z;1991408;2420605;1595512;2530016;3138352;2109384;1866942;2137486;1998459;2181908;1902232;2089261;1623665;2202152;2027991;1891245;1974687;2155889;1836615;2330641;1687823;2295424;2154567;1902500;2466673;2512560;2727453;2483924;2687916;2609519;2053281;2394460;2087168;2187116;2897235;2217462;2299563;2179725;2150069;1842976;1785667;1904892;1528569;2059130;1984138;1942775;240304;239060;2431040;1566092;2197807;1868967;1644655;2175841;2219115;1893744;2052834;1203743;2136800;2062002;2545551;1927062;1891585;1923638;2273070;2125636;2290074;2074274;1716607;2361886;1700773;2163246;1816864;1689508;2182662;2214793;2216048;1482479;1963934;2601614;1887177;1947149;2100859;2208206;1842499;2272202;2112019;2298975;2511313;1182827;1105617;2102960;2012407;1865567;1216224;2161324
713.4s : 235.169m/z;258366;385770;348849;374028;602851;351850;316091;349998;349286;440384;350519;350501;294072;324457;320352;286809;315351;348894;325203;377197;387391;378796;405099;328309;403298;415563;483396;437895;490680;430747;352005;387126;403658;451626;478975;336991;345512;355410;371727;365819;334565;321522;365514;352290;336695;319790;408189;415926;342555;320869;383414;349355;345427;357473;359379;322006;331568;333463;372909;344565;373409;374420;373163;312872;418634;353340;362983;329383;366174;430357;433933;394963;268540;392500;363178;370099;373641;392279;336083;418819;378548;368557;364050;332511;345473;375734;399504;385148;395641;221123;330521;306387;328072;405921;251761;360644
750.8s : 161.096m/z;101024;138428;288520;146456;368813;115914;175952;160068;180577;293095;269991;269727;229515;121390;169351;161329;154532;162469;218979;152211;309434;125756;258045;197619;150679;152446;278881;207502;318751;246849;230355;179826;286267;264993;180432;114965;122146;207026;263563;340793;279960;192489;371013;220244;168455;149503;640975;640928;151356;254939;226132;278664;398354;295604;202669;225189;121837;404404;228217;125594;374152;308778;253132;115991;237375;185080;130105;146473;303598;217007;386082;193695;202910;325079;125055;179432;168422;376931;225003;195218;292947;230707;192474;160901;227212;138152;250720;195242;158540;173387;372545;147525;124319;367433;244937;145308
