Fragment_ID;Day;Sample_or_Control;429.1s : 205.143m/z;524.2s : 149.023m/z;524.2s : 223.096m/z;524.2s : 177.055m/z;542.6s : 241.086m/z;542.6s : 209.060m/z;586.1s : 214.162m/z;629.6s : 415.211m/z;689.3s : 291.195m/z;713.4s : 235.169m/z;750.8s : 161.096m/z;750.9s : 277.180m/z;773.8s : 301.141m/z;773.8s : 579.291m/z;773.9s : 279.159m/z;773.9s : 149.023m/z;773.9s : 205.086m/z;835.2s : 199.169m/z;908.9s : 229.216m/z;954.8s : 601.372m/z;954.8s : 657.434m/z;1003.5s : 297.278m/z;1005.0s : 257.247m/z;1005.0s : 239.237m/z;1014.4s : 284.294m/z;1045.4s : 225.257m/z;1057.6s : 363.274m/z;1057.7s : 345.263m/z;524.2s : 245.078m/z;603.8s : 249.133m/z;761.9s : 259.190m/z;761.9s : 185.117m/z;835.2s : 111.117m/z;1037.3s : 298.310m/z;954.7s : 674.461m/z;1004.9s : 395.220m/z;129.8s : 114.091m/z;860.0s : 377.326m/z;284.4s : 163.133m/z;718.2s : 249.185m/z;855.9s : 333.300m/z;567.7s : 113.060m/z;761.9s : 281.172m/z;936.6s : 475.296m/z;918.5s : 256.263m/z;37.7s : 141.959m/z;1050.6s : 756.524m/z;835.1s : 309.203m/z;429.1s : 227.125m/z;629.6s : 432.238m/z;942.1s : 282.279m/z;911.4s : 742.508m/z;542.6s : 263.068m/z;761.9s : 539.354m/z;571.8s : 327.008m/z;961.1s : 315.252m/z;773.8s : 223.096m/z;750.9s : 203.107m/z;773.6s : 873.409m/z;148.5s : 137.107m/z;773.7s : 889.381m/z;1017.5s : 283.263m/z;1024.8s : 310.310m/z;835.0s : 287.222m/z;569.6s : 323.146m/z;912.1s : 747.464m/z;586.0s : 173.136m/z;146.2s : 227.175m/z;284.6s : 430.243m/z;689.4s : 161.096m/z;689.4s : 203.107m/z;689.4s : 276.159m/z;716.6s : 309.206m/z;969.3s : 286.201m/z;1057.6s : 386.290m/z;906.1s : 321.173m/z;267.7s : 453.343m/z;1043.2s : 345.263m/z;689.4s : 197.081m/z;919.9s : 614.482m/z;922.3s : 526.430m/z;918.6s : 658.508m/z;917.2s : 702.534m/z;886.9s : 570.456m/z;1060.6s : 421.261m/z;857.9s : 540.424m/z;915.8s : 746.560m/z;886.1s : 614.483m/z;1057.2s : 501.247m/z;969.3s : 247.154m/z;914.4s : 790.586m/z;884.9s : 658.509m/z;887.6s : 526.430m/z;883.6s : 702.535m/z;918.7s : 641.482m/z;954.8s : 545.310m/z;1014.3s : 421.261m/z;689.5s : 309.206m/z;183.8s : 316.212m/z;882.4s : 746.561m/z;675.5s : 325.201m/z;924.0s : 568.455m/z;1057.7s : 725.539m/z;919.9s : 597.456m/z;921.1s : 553.430m/z;902.2s : 614.483m/z;917.3s : 685.508m/z;146.3s : 453.343m/z;887.9s : 482.404m/z;969.3s : 245.175m/z;901.2s : 658.509m/z;146.2s : 475.325m/z;538.9s : 373.185m/z;567.4s : 387.201m/z;567.4s : 404.227m/z;919.9s : 619.438m/z;903.2s : 570.457m/z;801.4s : 181.086m/z;801.4s : 107.049m/z;912.9s : 834.612m/z;917.2s : 707.488m/z;801.4s : 310.237m/z;923.1s : 482.404m/z;567.4s : 409.183m/z;586.9s : 423.198m/z;731.4s : 299.221m/z;587.0s : 418.243m/z;587.1s : 401.216m/z;688.2s : 147.065m/z;688.2s : 129.055m/z;887.0s : 509.404m/z;900.0s : 702.535m/z;918.6s : 663.464m/z;886.3s : 553.430m/z;881.3s : 790.587m/z;922.1s : 509.404m/z;921.2s : 575.412m/z;688.2s : 259.190m/z;264.3s : 245.138m/z;539.3s : 390.212m/z;885.8s : 597.456m/z;884.9s : 641.482m/z;922.9s : 465.378m/z;565.6s : 343.295m/z;795.9s : 445.279m/z;811.7s : 459.295m/z;688.4s : 281.172m/z;898.9s : 746.561m/z;916.0s : 729.534m/z;922.3s : 531.386m/z;485.4s : 158.154m/z;434.3s : 387.201m/z;796.0s : 467.261m/z;470.5s : 445.243m/z;294.9s : 259.154m/z;884.0s : 685.508m/z;915.8s : 751.516m/z;904.0s : 526.430m/z;923.1s : 487.360m/z;346.3s : 184.115m/z;961.0s : 337.234m/z;887.3s : 465.378m/z;796.1s : 462.305m/z;539.8s : 395.167m/z;448.1s : 431.227m/z;923.6s : 438.378m/z;233.2s : 172.133m/z;886.1s : 619.438m/z;495.3s : 387.201m/z;524.3s : 401.217m/z;1005.1s : 109.101m/z;923.5s : 443.334m/z;954.9s : 679.416m/z;921.3s : 570.456m/z;408.0s : 373.185m/z;801.4s : 149.060m/z;883.0s : 729.535m/z;888.3s : 438.378m/z;773.8s : 613.231m/z;904.5s : 482.404m/z;911.3s : 878.638m/z;887.0s : 575.412m/z;923.1s : 421.352m/z;602.4s : 341.196m/z;884.8s : 663.464m/z;284.4s : 107.070m/z;897.8s : 790.587m/z;689.5s : 332.222m/z;440.0s : 214.180m/z;887.4s : 421.352m/z;936.8s : 283.263m/z;731.7s : 339.214m/z;811.8s : 481.276m/z;880.3s : 834.613m/z;494.0s : 422.238m/z;954.9s : 639.424m/z;912.5s : 675.445m/z;888.6s : 443.334m/z;558.4s : 573.290m/z;902.2s : 597.456m/z;447.6s : 226.180m/z;961.2s : 213.148m/z;954.7s : 713.355m/z;855.3s : 355.282m/z;267.6s : 475.325m/z;888.0s : 487.360m/z;872.8s : 597.456m/z;886.3s : 377.326m/z;773.6s : 891.382m/z;447.6s : 244.191m/z;901.2s : 641.482m/z;773.8s : 890.384m/z;629.5s : 119.086m/z;629.4s : 846.440m/z;586.1s : 345.263m/z;753.5s : 247.154m/z;887.6s : 531.386m/z;487.9s : 459.258m/z;471.5s : 480.280m/z;500.9s : 228.196m/z;900.1s : 685.508m/z;883.3s : 707.490m/z;961.0s : 360.310m/z;45.1s : 132.102m/z;811.9s : 476.321m/z;666.0s : 371.326m/z;870.9s : 685.508m/z;523.9s : 499.105m/z;1057.7s : 517.391m/z;903.3s : 553.430m/z;761.9s : 129.055m/z;914.7s : 773.560m/z;796.1s : 187.097m/z;922.8s : 377.326m/z;491.2s : 179.143m/z;1057.6s : 251.127m/z;914.3s : 795.542m/z;621.4s : 288.289m/z;871.8s : 641.482m/z;881.9s : 773.560m/z;744.7s : 331.248m/z;731.6s : 317.232m/z;494.0s : 427.193m/z;471.7s : 485.235m/z;845.1s : 440.409m/z;872.2s : 658.509m/z;869.4s : 746.561m/z;912.0s : 861.612m/z;688.4s : 241.180m/z;789.6s : 285.170m/z;567.6s : 221.064m/z;288.1s : 201.112m/z;324.7s : 143.070m/z;522.0s : 436.253m/z;773.9s : 306.119m/z;869.7s : 729.534m/z;855.4s : 403.232m/z;731.6s : 655.438m/z;812.3s : 273.206m/z;493.9s : 405.212m/z;576.7s : 587.305m/z;842.4s : 358.368m/z;542.9s : 667.183m/z;806.4s : 284.331m/z;922.4s : 554.461m/z;923.3s : 510.435m/z;517.4s : 419.227m/z;812.2s : 161.081m/z;913.2s : 817.586m/z;910.1s : 438.378m/z;907.5s : 706.451m/z;540.6s : 400.145m/z;1079.8s : 747.464m/z;447.8s : 466.264m/z;64.6s : 141.959m/z;853.8s : 289.273m/z;750.7s : 221.117m/z;524.1s : 467.167m/z;750.7s : 186.567m/z;37.0s : 172.977m/z;57.6s : 158.961m/z;73.4s : 186.956m/z;271.7s : 159.065m/z;502.0s : 225.149m/z;750.8s : 233.190m/z;1045.1s : 155.179m/z;689.4s : 253.143m/z;284.4s : 185.115m/z;426.5s : 405.211m/z;872.0s : 438.378m/z;872.9s : 482.404m/z;872.9s : 526.430m/z;906.3s : 269.247m/z;712.6s : 304.300m/z;858.0s : 399.308m/z;909.3s : 211.205m/z;859.8s : 394.352m/z;961.2s : 651.478m/z;1068.0s : 574.310m/z;689.4s : 331.188m/z;229.6s : 432.280m/z;464.2s : 149.023m/z;229.6s : 415.254m/z;211.1s : 371.228m/z;563.1s : 194.117m/z;871.6s : 421.352m/z;872.7s : 443.334m/z;873.2s : 509.404m/z;452.3s : 419.227m/z;64.5s : 166.086m/z;872.8s : 553.430m/z;872.8s : 465.378m/z;549.4s : 329.174m/z;211.0s : 388.254m/z;246.0s : 459.280m/z;689.5s : 165.055m/z;604.0s : 267.144m/z;586.4s : 191.146m/z;1005.4s : 123.116m/z;896.8s : 834.613m/z;774.0s : 611.230m/z;1052.9s : 122.096m/z;882.1s : 751.516m/z;879.4s : 878.639m/z;1036.9s : 546.487m/z;422.1s : 179.070m/z;1064.0s : 312.325m/z;1070.4s : 765.476m/z;873.1s : 614.482m/z;233.2s : 155.107m/z;872.8s : 570.456m/z;1074.1s : 122.096m/z;867.6s : 790.587m/z;859.3s : 438.378m/z;1057.8s : 689.518m/z;408.3s : 329.174m/z;512.9s : 329.174m/z;290.9s : 360.216m/z
CauMo_2;4;FALSE Sample;303869;442945;425389;1645276;399757;931261;506320;756200;2420605;385770;138428;100656;239774;271440;2873464;1636695;2218708;353585;124177;350681;376314;272381;469068;370662;139101;165248;454712;1324816;198426;189134;1470251;1115241;233674;117253;253718;76987;88388;62559;131220;103156;71588;294473;300894;44687;126014;98432;27927;109766;154713;58705;411642;30512;113824;141288;258523;994099;179926;0;154851;0;403856;61391;132793;97269;148268;0;190597;1899430;165849;407086;382799;690768;358748;363224;140458;99931;739961;119785;99380;180979;129099;167215;147461;88455;100339;118459;127536;85286;43046;139948;97061;77202;72419;63326;76647;250416;81859;120415;149972;49251;173160;166527;376162;77091;69944;52654;68508;173751;52767;123105;50616;0;0;0;0;60952;47898;168949;175652;71998;53272;136783;77606;0;0;0;0;0;0;0;35998;44427;55648;39751;35469;53766;52985;0;0;0;40835;35349;0;0;0;0;0;34791;53445;0;61543;0;0;0;0;32353;44711;40343;0;0;219411;0;0;0;0;0;88735;0;0;0;55433;0;0;0;0;125795;0;0;38055;0;51796;0;0;197903;0;0;0;67062;92005;0;0;0;0;0;0;109034;0;0;0;0;0;302042;0;0;0;0;0;0;0;0;0;0;59589;58509;159517;0;0;0;0;0;0;0;83109;0;0;0;0;80905;127404;0;104382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63413;0;0;0;0;0;0;0;0;0;0;0;87933;0;0;0;50849;59451;0;0;0;0;0;179996;0;74693;0;64697;0;0;63180;0;0;0;0;0;0;0;0;0;0;53915;71891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CauMo_3;4;FALSE Sample;626067;240776;245074;893900;282845;632869;444680;631392;1595512;348849;288520;257585;207288;189808;1425782;802229;1069091;154958;122441;146918;157765;218878;456315;375183;142722;176194;355808;983105;147768;145327;423958;294469;98080;110640;136896;79616;158937;63224;272836;127664;65704;186230;149404;43697;115227;76009;27609;0;230366;51175;308075;0;94202;0;0;114298;0;138183;0;0;0;104505;769789;0;0;0;165516;2097631;98767;272539;276821;465996;95491;226979;106790;86642;790950;76531;77142;228159;181866;209702;183878;103091;47853;74507;150295;101721;43363;88045;112665;92207;94750;74718;102269;0;0;0;81119;57325;0;0;223082;108727;97864;65212;93294;212449;67634;75580;62083;49933;0;0;0;74706;62215;0;0;81296;62114;0;119682;0;0;0;0;0;0;0;46734;53044;72917;49844;43181;88499;70861;0;0;0;50687;46176;70283;0;0;0;0;42817;72865;61400;0;0;0;0;0;38701;50432;54149;56880;0;0;41738;0;0;0;63370;0;34050;0;0;0;54201;0;217605;0;0;28192;0;0;36352;57822;0;48494;0;30523;119738;32872;0;0;0;0;0;0;27623;0;0;0;0;0;0;0;0;0;49440;0;0;0;0;211512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40620;0;0;0;0;38156;0;29615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80824;0;0;60800;0;0;0;0;0;0;0;0;0;88856;0;86302;99051;0;0;0;0;0;0;0;0;0;93399;70205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CauMo_4;3;FALSE Sample;360748;416890;436494;1583476;451337;993980;464711;858799;2530016;374028;146456;117640;234308;250524;2242811;1199914;1658935;319652;138924;431205;480247;286327;534577;415700;124738;181105;385097;1085174;202955;156498;709172;491630;207507;112834;281766;76700;116648;64595;144192;112870;61978;320666;210124;51270;91027;0;34343;102895;164535;66020;78718;55897;122313;85885;197882;121435;130621;0;136709;74897;298203;64958;0;83957;153900;0;166883;2776874;118741;410301;405808;711764;263856;285438;118645;84502;1150580;93385;105345;208057;174133;195713;166581;85995;79319;136758;137996;85712;43192;114214;100103;76524;80472;60440;94125;297820;82612;126613;108358;48375;162571;206524;271066;102081;94469;57323;79510;303270;54699;94194;50732;62635;0;0;0;75626;55977;170023;163572;73419;60328;140920;111845;0;0;0;0;0;0;0;37127;44057;68613;39898;33354;79351;68337;0;0;0;41216;36974;68204;107798;0;0;0;35838;57978;59567;0;0;0;0;0;29723;50395;49923;57402;0;0;0;0;0;0;61054;0;0;0;0;62556;52510;93057;0;0;119724;0;0;0;32322;49173;0;0;204086;0;0;0;69748;0;0;0;0;0;0;0;138551;0;0;0;0;0;0;50126;0;0;0;0;0;0;0;0;0;64453;67627;0;0;0;0;0;0;0;0;0;0;0;0;0;62812;0;0;0;0;0;0;0;0;35692;116774;0;0;0;0;0;0;0;49943;0;0;0;0;0;0;0;0;35954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94437;0;0;42373;54004;63104;0;0;0;0;0;0;140339;77285;88658;83171;87277;109245;58494;0;0;0;0;0;0;0;0;100635;73526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CauPc_1;1;FALSE Sample;480136;606831;696337;2469640;524187;1103221;561634;631693;3138352;602851;368813;378579;330988;412632;4001758;1986871;2906768;369442;170860;327556;358964;361584;601030;469132;209592;172171;398464;1239916;301814;195350;2295511;1681412;233964;145553;180598;64883;186927;82344;262064;131436;88100;396466;450263;58971;231699;66313;0;133952;233196;58191;460260;109860;147230;238252;552154;756311;229576;180230;188339;136393;372886;75132;121565;112206;222087;67089;195425;5465149;277852;484656;499381;864335;242441;284810;136834;113393;2770776;98892;122780;83572;63684;81711;71605;125488;74916;339839;61378;126525;32785;109792;48807;113812;118919;97465;37454;222134;91482;147269;222319;78063;158590;312339;320540;40154;39875;73753;0;762523;79823;87610;71345;144561;94160;83212;0;39377;68933;73803;63587;0;33053;62408;0;0;0;0;0;0;0;0;83463;66306;40468;87414;61122;0;0;0;264126;0;79961;77504;0;211671;0;0;0;54512;0;0;104539;0;0;0;0;61915;0;58605;0;0;222679;78864;0;0;0;0;70154;61560;0;0;66531;0;0;78635;0;0;46476;0;0;36463;0;63363;0;0;55772;0;43053;84158;0;50661;74437;0;0;42883;0;0;44470;50374;0;37236;255000;232357;0;63964;107247;61329;0;0;0;265011;38245;0;0;0;0;0;61887;0;0;120100;34597;49822;0;0;0;0;40809;0;99226;39116;142705;0;0;0;0;0;0;158999;0;26420;0;0;0;0;0;0;50198;0;0;0;0;0;0;0;0;29260;69634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58544;83749;74665;0;0;0;0;0;0;0;0;110131;91784;0;0;68201;0;103044;0;64892;95300;0;173291;0;95288;139845;72787;133515;131552;105428;50879;0;0;0;0;0;0;0;140566;118078;62590;0;0;52820;29563;48094;31752;40878;27881;42850;0;0;0;0;0;0;0;37949;43726;0;0;0;0
CauPc_2;2;FALSE Sample;540952;183695;195671;686439;269096;583842;635748;422793;2109384;351850;115914;93162;161295;145287;1057665;557274;779404;136017;135776;345850;383953;297521;511592;411364;71930;169668;562719;1690449;117115;219316;147006;98985;90412;110942;238135;64148;144885;59209;355873;123770;62794;151561;0;39969;0;93992;28682;0;198250;0;100760;90828;85976;0;0;0;0;0;0;87602;0;71175;141108;0;0;35951;221120;2166752;139379;358663;355078;602820;105775;474356;179145;120207;900787;171094;90374;73367;53209;69904;65970;61392;97870;174894;56705;64008;37443;183794;43767;57535;52518;48339;0;250734;96440;109388;131508;40360;149372;167711;612335;0;0;37747;0;224464;0;151146;35979;50495;0;0;0;0;0;202413;197900;32515;0;135183;0;0;0;0;0;0;0;0;0;31080;0;0;30208;0;0;0;0;0;29366;0;0;0;0;0;0;0;0;0;57432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70835;0;0;0;0;0;79229;69421;0;142663;0;0;0;0;0;0;0;241184;0;150821;0;57139;0;0;0;0;0;0;0;112406;26939;0;0;0;0;0;38503;0;0;0;0;0;0;0;0;0;0;0;230226;97913;0;0;0;0;0;0;0;0;0;0;0;0;189945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86257;87336;0;0;0;0;72858;0;0;78363;0;0;0;64192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46111;81113;54648;47034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143595;0;0;0
CauPc_3;3;FALSE Sample;207281;327214;337697;1254949;348077;770050;322184;926591;1866942;316091;175952;150453;219382;232175;2200088;1187124;1646177;224812;113249;308123;336794;218912;479715;378818;139143;135375;302936;818784;169308;120092;665417;457167;147857;97667;223703;71978;121733;52478;120450;87718;53545;237526;192685;47324;110776;70960;30649;77868;107378;60876;193549;53915;105407;77756;267035;0;131553;0;138618;0;297316;0;77994;0;0;0;119952;3438960;123359;315533;315050;542293;230882;200670;91131;72536;2143955;61154;83025;168536;119499;159785;139036;87860;51184;116556;122632;88007;36622;79094;91084;78441;74784;62974;73246;224024;49300;90650;113805;49839;109025;107452;0;71865;64186;51242;64935;408642;47854;65365;46524;81006;0;0;0;57098;47753;95642;92253;68367;49132;92432;69428;0;0;0;0;0;0;0;37340;42458;55509;40918;34770;52122;50072;0;0;0;41223;37422;0;313050;0;0;0;33064;50530;0;59099;0;0;0;0;31920;42199;0;0;0;0;0;0;0;0;0;0;0;0;0;55384;0;77456;153506;0;66250;0;0;34626;0;47339;0;0;118764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71419;0;30296;0;0;0;0;0;71668;66065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50150;65943;0;0;0;0;0;0;117080;0;77774;64527;78701;84583;0;0;0;0;0;0;33421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70516;0;0;0;0;0;0;0
CauPc_4;2;FALSE Sample;549873;187947;202434;724088;265880;600968;567011;373782;2137486;349998;160068;132814;145509;121053;781264;417842;584626;147305;136102;296276;326189;260796;521396;410725;103519;172338;459421;1350020;118367;194688;145264;96562;92578;109865;213702;65736;131329;60009;272500;119125;65797;157880;0;49148;82519;91131;30674;0;205394;0;135425;83577;80681;0;0;0;0;0;0;87753;0;109705;557489;0;0;34571;208688;2221832;145187;352459;356709;591754;101364;343196;142499;108900;960587;119895;91516;102059;70256;105364;97448;50741;72830;196562;87747;51877;34986;130194;65995;47983;42262;39979;42972;209767;81244;112482;127535;32823;88039;190698;426954;41726;38973;0;39420;227306;0;108906;0;47359;0;0;0;0;0;99938;92345;52117;31770;91155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95320;0;0;0;0;0;0;51649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126351;0;0;0;59846;0;74915;92551;0;71935;0;0;0;0;0;0;0;0;0;120176;0;57623;115334;0;0;0;0;0;0;0;27300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201125;84186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81332;74851;0;0;0;0;64573;0;0;0;0;0;0;61248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46126;75254;55178;0;0;0;0;0;0;0;0;0;0;0;56598;0;0;0;0;0;0;0;0
CauPs_1;4;FALSE Sample;619902;254803;263103;957335;294079;662395;546608;445597;1998459;349286;180577;146709;219821;217542;1824162;1002744;1343828;160925;133096;212532;233310;235824;484996;385449;108644;178129;451819;1318370;154243;194171;763292;543182;99247;118869;187262;80638;144278;64667;253867;123527;71008;199293;212683;39226;88326;0;28173;74383;214870;0;175200;35527;97107;85936;0;543784;108583;88741;109661;68814;272981;99983;637290;0;0;0;200447;2110950;97548;342244;334070;575086;165761;335999;144806;107992;890528;120465;88310;163262;146964;145253;112829;65739;76570;102520;84311;55686;45152;133339;60265;45042;67045;31637;61775;152477;49749;96801;0;0;0;164872;361466;66744;70276;41390;49888;215405;57124;105915;34772;48744;101152;142660;64315;49105;43844;0;0;0;37991;68982;99068;0;0;0;0;0;0;0;0;0;45786;0;0;64297;51801;0;0;0;0;0;55800;0;0;0;0;0;0;45745;0;0;0;0;0;0;0;0;47232;0;170926;0;0;0;0;59559;0;0;0;0;0;0;0;0;0;0;0;42634;37504;0;0;0;0;0;0;118029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159703;0;55718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53832;0;0;0;0;0;117489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79126;0;0;44407;0;45995;0;0;45179;0;0;119080;0;65594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82275;0;0;0;0;0;0;0;0;0;0;0
CauPs_3;4;FALSE Sample;222212;399933;408812;1495546;369598;817994;396035;459596;2181908;440384;293095;266317;236668;263828;2359788;1263906;1722830;262944;124963;196310;214959;244227;434866;350725;80230;153165;334189;931693;200624;157315;848757;587951;174530;117724;168214;82203;70144;61568;120993;113131;65701;277823;226469;0;0;88403;30539;96643;116764;46238;0;36114;106230;97319;213890;531763;138349;140819;130625;0;337374;0;0;79495;77271;0;147171;2650701;106252;350829;356569;601888;262822;224027;103265;86182;1092446;72529;88122;105130;82324;95494;81025;70272;66770;100926;61292;63058;44729;84933;44149;53420;73155;41919;38691;142337;51799;97975;0;32175;101636;105540;200835;44273;40151;37722;34985;283876;54895;70263;32430;60473;146096;199649;84057;0;0;0;0;0;0;0;51697;69891;0;0;0;0;0;0;0;0;0;31828;0;0;0;0;102247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127643;161687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148350;0;53232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82392;0;0;43445;51807;0;67278;0;0;0;0;113444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
control_d1_1;1;TRUE Sample;313712;380179;408365;1503540;347133;782911;342411;557398;1902232;350519;269991;254110;183653;197294;1993259;1093346;1497806;267832;133964;178930;197101;247338;473089;374124;303658;134480;252763;715738;166610;130154;520663;355139;182996;100604;140464;57543;106532;56561;196049;96323;62634;327030;142791;45232;487279;81586;24916;79260;137363;46245;844535;84234;0;0;188249.1124;0;114433;127953;0;100094;0;78213;113837;70271;77130;33546;123953;576953;157344;272756;272603;503309;168955;174047;77591;72770;288174;54163;62884;62508;45870;63564;53036;35191;0;204049;48526;29718;0;0;0;0;0;0;0;121830;35385;83883;125781;0;0;202856;158219;0;0;0;0;0;0;0;0;0;825743;2142819;291760;0;0;0;0;0;0;0;0;202668;202493;648912;259792;842589;292080;183959;0;0;0;0;0;0;0;217305;652433;129704;0;0;0;202655;179861;253671;122377;0;0;0;0;295297;105080;618696;601896;0;0;0;0;125190;0;0;113016;89692;349040;0;87520;0;186571;180914;0;0;0;59939;80480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87104;91375;0;61849;0;27643;0;70808;0;370637;0;0;0;0;0;0;0;0;363607;0;204706;0;0;0;0;0;129985;127467;130654;0;0;0;89117;95927;0;0;0;0;0;0;0;88643;0;0;28708;0;0;0;0;91945;68218;0;0;0;0;0;0;88181;68841;42594;0;0;0;0;0;0;45156;0;0;46992;0;51138;0;0;0;0;0;0;0;0;0;0;54424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99035;0;0;0;0;0;0;0;0;0;0;0;0
